ka	か
ssyu	っしゅ
sshe	っしぇ
ssye	っしぇ
ssho	っしょ
ssyo	っしょ
zza	っざ
jji	っじ
zzi	っじ
zzu	っず
zze	っぜ
zzo	っぞ
jja	っじゃ
jjya	っじゃ
jjyi	っじぃ
jju	っじゅ
jjyu	っじゅ
jje	っじぇ
jjye	っじぇ
jjo	っじょ
jjyo	っじょ
tta	った
tti	っち
cchi	っち
ttu	っつ
ttsu	っつ
tte	って
tto	っと
dda	っだ
ddi	っぢ
ddu	っづ
dde	っで
ddo	っど
ddya	っぢゃ
ddyi	っぢぃ
ddyu	っぢゅ
ddye	っぢぇ
ddyo	っぢょ
ddha	っでゃ
ddhi	っでぃ
ddhu	っでゅ
ddhe	っでぇ
ddho	っでょ
hha	っは
hhi	っひ
hhu	っふ
ffu	っふ
hhe	っへ
hho	っほ
hhya	っひゃ
hhyi	っひぃ
hhyu	っひゅ
hhye	っひぇ
hhyo	っひょ
ffa	っふぁ
ffi	っふぃ
ffe	っふぇ
ffo	っふぉ
ffya	っふゃ
ffyu	っふゅ
ffyo	っふょ
ppa	っぱ
ppi	っぴ
ppu	っぷ
ppe	っぺ
ppo	っぽ
ppya	っぴゃ
ppyi	っぴぃ
ppyu	っぴゅ
ppye	っぴぇ
ppyo	っぴょ
bba	っば
bbi	っび
bbu	っぶ
bbe	っべ
bbo	っぼ
bbya	っびゃ
bbyi	っびぃ
bbyu	っびゅ
bbye	っびぇ
bbyo	っびょ
mma	っま
mmi	っみ
mmu	っむ
mme	っめ
mmo	っも
yya	っや
yyu	っゆ
yye	っいぇ
yyo	っよ
rra	っら
rri	っり
rru	っる
rre	っれ
rro	っろ
rrya	っりゃ
rryi	っりぃ
rryu	っりゅ
rrye	っりぇ
rryo	っりょ
wwa	っわ
wwo	っを
wwha	っうぁ
wwi	っうぃ
wwhi	っうぃ
wwe	っうぇ
wwhe	っうぇ
wwho	っうぉ
vva	っゔぁ
vvi	っゔぃ
vvu	っゔ
vve	っゔぇ
vvo	っゔぉ
,	、
.	。
...	…
(	（
)	）
[	「
]	」
-	ー
?	？
